Tempo,Media Movel
1933.2083,7003.166666666667
1933.2917,6987.166666666667
1933.375,6987.416666666667
1933.4583,6991.416666666667
1933.5417,6989.916666666667
1933.625,6987.916666666667
1933.7083,6996.083333333333
1933.7917,6992.25
1933.875,6980.083333333333
1933.9583,6996.833333333333
1934.0417,6997.333333333333
1934.125,7006.25
1934.2083,7003.166666666667
1934.2917,7008.5
1934.375,7009.75
1934.4583,7006.25
1934.5417,7006.0
1934.625,7004.75
1934.7083,6998.416666666667
1934.7917,7004.833333333333
1934.875,7025.333333333333
1934.9583,7008.833333333333
1935.0417,7013.916666666667
1935.125,7014.416666666667
1935.2083,7020.0
1935.2917,7020.75
1935.375,7010.583333333333
1935.4583,7009.833333333333
1935.5417,7012.833333333333
1935.625,7015.083333333333
1935.7083,7017.833333333333
1935.7917,7015.0
1935.875,6994.5
1935.9583,6997.25
1936.0417,6991.666666666667
1936.125,6991.416666666667
1936.2083,6978.25
1936.2917,6972.166666666667
1936.375,6981.083333333333
1936.4583,6990.666666666667
1936.5417,6989.916666666667
1936.625,6989.416666666667
1936.7083,6985.166666666667
1936.7917,6980.833333333333
1936.875,6977.75
1936.9583,6972.166666666667
1937.0417,6955.416666666667
1937.125,6956.666666666667
1937.2083,6964.5
1937.2917,6973.416666666667
1937.375,6970.833333333333
1937.4583,6968.083333333333
1937.5417,6967.833333333333
1937.625,6966.833333333333
1937.7083,6968.083333333333
1937.7917,6975.25
1937.875,6996.333333333333
1937.9583,7003.75
1938.0417,7017.916666666667
1938.125,7026.833333333333
1938.2083,7036.0
1938.2917,7033.416666666667
1938.375,7029.666666666667
1938.4583,7022.583333333333
1938.5417,7022.333333333333
1938.625,7021.0
1938.7083,7022.0
1938.7917,7021.166666666667
1938.875,7004.166666666667
1938.9583,6993.75
1939.0417,6991.75
1939.125,6969.916666666667
1939.2083,6950.916666666667
1939.2917,6943.583333333333
1939.375,6946.333333333333
1939.4583,6947.583333333333
1939.5417,6945.833333333333
1939.625,6950.166666666667
1939.7083,6952.666666666667
1939.7917,6951.166666666667
1939.875,6959.0
1939.9583,6974.25
1940.0417,6980.583333333333
1940.125,7001.916666666667
1940.2083,7017.666666666667
1940.2917,7025.0
1940.375,7028.083333333333
1940.4583,7027.333333333333
1940.5417,7029.583333333333
1940.625,7027.333333333333
1940.7083,7032.166666666667
1940.7917,7042.583333333333
1940.875,7044.666666666667
1940.9583,7048.916666666667
1941.0417,7055.0
1941.125,7055.75
1941.2083,7059.75
1941.2917,7065.333333333333
1941.375,7069.833333333333
1941.4583,7073.333333333333
1941.5417,7075.166666666667
1941.625,7080.5
1941.7083,7081.0
1941.7917,7073.666666666667
1941.875,7080.0
1941.9583,7081.583333333333
1942.0417,7072.5
1942.125,7061.083333333333
1942.2083,7044.833333333333
1942.2917,7048.416666666667
1942.375,7045.166666666667
1942.4583,7043.916666666667
1942.5417,7044.666666666667
1942.625,7041.583333333333
1942.7083,7034.25
1942.7917,7031.416666666667
1942.875,7028.083333333333
1942.9583,7015.083333333333
1943.0417,7008.666666666667
1943.125,7009.166666666667
1943.2083,7012.75
1943.2917,7008.666666666667
1943.375,7001.583333333333
1943.4583,7005.416666666667
1943.5417,7003.583333333333
1943.625,7003.333333333333
